Date	shares_o
Nov. 7, 2013	544.70M
Dec. 31, 2013	569.92M
Feb. 28, 2014	588.38M
March 31, 2014	589.30M
April 30, 2014	589.94M
June 30, 2014	612.68M
July 31, 2014	615.23M
Sept. 30, 2014	632.16M
Oct. 31, 2014	634.51M
Dec. 31, 2014	642.38M
Feb. 17, 2015	647.84M
March 31, 2015	653.14M
April 30, 2015	654.77M
June 30, 2015	674.38M
July 28, 2015	676.30M
