Date	shares_o
June 26, 2014	123.14M
July 1, 2014	123.14M
Aug. 1, 2014	126.01M
Sept. 30, 2014	125.78M
Dec. 31, 2014	129.11M
March 31, 2015	134.02M
June 30, 2015	132.86M
