Date	eps
June 30, 2012	-0.08
Sept. 30, 2012	-0.02
Dec. 31, 2012	0.0143
March 31, 2013	0.09
June 30, 2013	0.13
Sept. 30, 2013	0.17
Dec. 31, 2013	0.2034
March 31, 2014	0.25
June 30, 2014	0.30
Sept. 30, 2014	0.30
Dec. 31, 2014	0.2479
March 31, 2015	0.18
June 30, 2015	0.25
Sept. 30, 2015	0.31
Dec. 31, 2015	0.5418
March 31, 2016	0.52
