Date	fcf
March 31, 2013	25.28M
June 30, 2013	-36.39M
Sept. 30, 2013	16.68M
Dec. 31, 2013	78.58M
March 31, 2014	16.21M
June 30, 2014	-22.12M
Sept. 30, 2014	36.79M
Dec. 31, 2014	38.55M
March 31, 2015	61.06M
June 30, 2015	49.81M
