Date	fcf
March 31, 2013	-9.007M
June 30, 2013	-8.095M
Sept. 30, 2013	-25.26M
Dec. 31, 2013	-31.98M
March 31, 2014	-6.937M
June 30, 2014	37.24M
Sept. 30, 2014	-124.66M
Dec. 31, 2014	-25.47M
March 31, 2015	24.45M
June 30, 2015	-2.626M
